Name,Rank,totalpts,fripts,fritime,satpts,sattime,sunpts,suntime,monpts,montime,tuepts,tuetime,wedpts,wedtime,thurpts,thurtime
Greg,1,12,1,0:30,1,1:06,3,0:49,2,0:30,1,0:28,3,1:14,1,0:29
joshg11,2,25,2,0:43,2,1:20,2,0:31,7,1:17,3,0:39,7,1:26,2,0:48
Adrian,3,38,6,0:59,9,5:46,4,0:50,5,0:52,4,0:43,5,1:16,5,0:56
James Dowd,4,42,3,0:51,4,2:19,9,1:53,8,1:22,13,2:25,2,1:03,3,0:53
silly,5,45,15,5:26,10,6:46,1,0:28,3,0:37,5,0:55,1,1:00,10,1:37
jen li,6,46,9,1:12,6,3:40,5,0:58,1,0:10,7,1:04,9,2:11,9,1:30
Michael G,7,52,11,1:15,10,6:46,8,1:49,4,0:44,8,1:12,4,1:15,7,1:17
missysolan,8,54,8,1:09,3,1:58,6,1:19,10,1:33,9,1:50,12,3:44,6,1:11
Ken Mochizuki,9,63,4,0:52,8,5:40,13,2:57,15,5:10,14,2:43,6,1:20,3,0:53
Nikki,10,64,13,1:37,7,5:32,7,1:30,6,1:16,10,1:57,10,2:26,11,1:58
Abraham Nirappel,11,65,6,0:59,5,2:23,10,1:59,13,2:36,11,2:09,8,1:47,12,2:12
everyone dr...,12,75,12,1:31,10,6:46,11,2:06,12,2:15,2,0:38,15,5:42,13,2:13
kuo.e,13,77,5,0:55,10,6:46,12,2:09,9,1:24,15,2:51,11,2:58,15,3:23
Samay17,14,78,9,1:12,10,6:46,15,6:24,11,1:42,6,1:01,13,3:54,14,3:15
Collin777,15,86,14,2:39,10,6:46,14,5:24,14,4:10,12,2:21,14,4:37,8,1:20
